0, 4337, 32, 31
76561197960289195, 2965, 1, 0
76561197960319997, 2880, 1, 0
76561197960329824, 2691, 21, 11
76561197960334645, 3012, 1, 1
76561197960341117, 2863, 4, 1
76561197960345061, 2978, 2, 1
76561197960346220, 3012, 1, 1
76561197960367066, 3012, 1, 1
76561197960369154, 2870, 3, 0
76561197960386772, 3015, 1, 1
76561197960387529, 2997, 1, 0
76561197960435853, 2989, 1, 0
76561197960454477, 2968, 1, 0
76561197960471729, 3035, 1, 1
76561197960491075, 3014, 1, 1
76561197960498149, 3012, 1, 1
76561197960517001, 2197, 57, 19
76561197960549471, 3000, 3, 1
76561197960569926, 2839, 21, 10
76561197960569961, 2475, 49, 15
76561197960599121, 2976, 1, 0
76561197960619914, 2850, 18, 11
76561197960700033, 2495, 35, 0
76561197960703553, 2996, 2, 1
76561197960727242, 2975, 3, 0
76561197960796051, 3031, 4, 1
76561197960805388, 3015, 1, 1
76561197960812987, 3207, 10, 7
76561197960829356, 2880, 1, 0
76561197960839748, 2909, 3, 2
76561197960862111, 3015, 1, 1
76561197960909158, 3093, 31, 13
76561197960930008, 3041, 1, 1
76561197960948177, 2468, 34, 2
76561197960952214, 894, 147, 28
76561197960956806, 2823, 8, 0
76561197960965155, 3020, 2, 1
76561197960978050, 1736, 24, 5
76561197960988374, 3015, 2, 1
76561197961036230, 3024, 1, 1
76561197961052823, 2989, 1, 0
76561197961075500, 3114, 5, 5
76561197961086126, 3109, 25, 6
76561197961093947, 2994, 1, 0
76561197961107174, 2997, 1, 0
76561197961143948, 3036, 1, 1
76561197961167716, 2729, 20, 6
76561197961169557, 3011, 1, 1
76561197961174237, 3026, 6, 1
76561197961178884, 2975, 3, 1
76561197961195154, 3013, 1, 1
76561197961242450, 2786, 14, 8
76561197961254597, 6421, 272, 128
76561197961263932, 3015, 1, 1
76561197961269317, 3041, 1, 1
76561197961311613, 3048, 1, 1
76561197961328085, 2880, 1, 0
76561197961378290, 3018, 1, 1
76561197961397082, 2968, 1, 0
76561197961411496, 2880, 1, 0
76561197961422731, 2988, 1, 0
76561197961434007, 2880, 1, 0
76561197961445292, 3014, 1, 1
76561197961501626, 3044, 1, 1
76561197961543079, 3039, 1, 1
76561197961543721, 2922, 2, 1
76561197961546780, 3013, 1, 1
76561197961595894, 3011, 1, 1
76561197961648230, 2896, 31, 1
76561197961659809, 3011, 1, 1
76561197961683232, 3004, 5, 1
76561197961723306, 3027, 3, 1
76561197961763874, 2937, 4, 1
76561197961790156, 3018, 1, 1
76561197961793932, 2971, 3, 2
76561197961797463, 3001, 2, 1
76561197961799403, 2789, 7, 2
76561197961845225, 2998, 3, 1
76561197961890126, 3053, 3, 3
76561197961937605, 2880, 1, 0
76561197961982250, 3014, 1, 1
76561197961994255, 2086, 28, 6
76561197962026416, 2880, 1, 0
76561197962032370, 3008, 2, 1
76561197962067346, 3059, 1, 1
76561197962071575, 3017, 1, 1
76561197962094990, 2712, 18, 6
76561197962142757, 3186, 17, 14
76561197962151861, 2921, 2, 1
76561197962163870, 2897, 2, 1
76561197962168151, 3035, 1, 1
76561197962241851, 3035, 1, 1
76561197962244355, 2989, 1, 0
76561197962256974, 2989, 5, 3
76561197962271266, 2993, 1, 0
76561197962305058, 2816, 7, 1
76561197962318517, 2932, 2, 1
76561197962336334, 1941, 31, 9
76561197962366903, 3032, 1, 1
76561197962374422, 3011, 2, 1
76561197962392947, 3014, 1, 1
76561197962468269, 2957, 2, 0
76561197962474730, 2991, 1, 0
76561197962537563, 2676, 15, 4
76561197962656095, 2605, 13, 2
76561197962808629, 2927, 2, 1
76561197962814563, 2897, 2, 1
76561197962837009, 2760, 2, 0
76561197962840035, 3015, 1, 1
76561197962852723, 2632, 7, 1
76561197962912503, 3011, 1, 1
76561197962934608, 3030, 1, 1
76561197962939777, 2681, 5, 1
76561197963013353, 3119, 3, 3
76561197963043427, 2997, 4, 3
76561197963092141, 3017, 1, 1
76561197963106087, 3083, 11, 3
76561197963133808, 2931, 10, 3
76561197963209263, 3031, 1, 1
76561197963221042, 3061, 1, 1
76561197963269982, 2900, 2, 1
76561197963287326, 2848, 20, 3
76561197963305744, 2508, 11, 3
76561197963335581, 3053, 1, 1
76561197963365641, 3012, 1, 1
76561197963377513, 2981, 115, 43
76561197963391752, 2880, 1, 0
76561197963395006, 3046, 1, 1
76561197963403219, 3064, 1, 1
76561197963447787, 3012, 1, 1
76561197963463378, 2576, 17, 5
